brand,attributes
ciele,"antioxidant, non-comedogenic, natural finish, cruelty-free, buildable, weightless, vegan, spf, full coverage, blurring, satin, hydrating, clean, medium coverage, niacinamide, noncomedogenic, gluten-free, smooth, vitamin e"
sarah creal,"long-wearing, peptide, hyaluronic acid, shea butter, wrinkles, hydrating, vegan, gluten-free, fine lines, cruelty-free, moisturizing, smudge-proof, collagen, blurring, buildable, smooth, matte"
caudalie,"vegan, clean, sensitive skin"
dr. dennis gross skincare,"peptide, hyaluronic acid, vegan, spf, dewy, cruelty-free, plumping, uneven texture, protection"
buxom,"wrinkles, antioxidant, vitamin c, fine lines, cruelty-free, moisturizing, weightless, vegan, smudge-proof, collagen, hydrating, matte, hyaluronic acid, waterproof, plumping, shimmer, peptide, smooth, vitamin e"
peter thomas roth,"glowy, peptide, hyaluronic acid, wrinkles, shea butter, hydrating, radiant, spf, fine lines, sheer, sunscreen, protection, collagen, uneven texture, buildable, smooth"
tweezerman,clean
l'occitane,"dry skin, shea butter, nourishing"
then i met you,"antioxidant, hydrating, gluten-free, squalane, cruelty-free, smooth, aha"
olaplex,"peptide, hyaluronic acid, hydrating, vegan, gluten-free, soothing, cruelty-free, dermatologist tested, smooth"
kiehl's since 1851,
cinema secrets,"conditioning, cruelty-free, clean"
first aid beauty,"wrinkles, vegan, gluten-free, fine lines, soothing, dewy, cruelty-free, oil-free"
mara,"wrinkles, beeswax, algae, vegan, gluten-free, fine lines, cruelty-free, plumping, clean, hydrating, nourishing"
wander beauty,"wrinkles, hyaluronic acid, hydrating, gluten-free, fine lines, vitamin e, soothing, full coverage, cruelty-free, sheer, buildable, smooth, weightless"
tula skincare,"hyaluronic acid, gluten-free, niacinamide, fine lines, cruelty-free"
kate somerville,"cruelty-free, sheer, protection"
saint jane beauty,"long-wearing, antioxidant, hydrating, vegan, gluten-free, vitamin c, cruelty-free, sheer, collagen, smooth, clean, shimmer"
kate mcleod,
lion pose,"wrinkles, antioxidant, gluten-free, squalane, spf, fine lines, dewy, cruelty-free, protection, radiant, clean"
damdam,"waterproof, vegan, gluten-free, squalane, soothing, cruelty-free, clean, vitamin e"
moroccanoil,"non-greasy, nourishing, antioxidant, uneven texture, weightless"
beautybio,"wrinkles, hyaluronic acid, shea butter, gluten-free, fine lines, cruelty-free, plumping, collagen"
peace out,"hyaluronic acid, vegan, gluten-free, niacinamide, cruelty-free, clean"
goop,"antioxidant, hydrating, gluten-free, cruelty-free, sheer, moisturizing, blurring, buildable, radiant, vitamin e"
virtue,"cruelty-free, gluten-free"
soleil toujours,"wrinkles, hyaluronic acid, antioxidant, vegan, gluten-free, vitamin c, spf, fine lines, dewy, cruelty-free, clean, vitamin e"
murad,"wrinkles, non-comedogenic, gluten-free, spf, cruelty-free, uneven texture, smooth"
fara homidi,"long-wearing, hydrating, vegan, gluten-free, squalane, dewy, vegan wax, cruelty-free, plumping, dry skin, buildable, smooth, matte"
blinc,"long-wearing, shea butter, vegan, gluten-free, cruelty-free, smudge-proof, buildable, radiant"
strivectin,"fine lines, wrinkles, vegan, smooth"
dermalogica,"wrinkles, hyaluronic acid, vegan, gluten-free, fine lines, cruelty-free, smooth"
deborah lippmann,"vegan, sheer"
vegamour,"peptide, vegan, gluten-free, cruelty-free, clean"
dr. brandt skincare,"wrinkles, non-comedogenic, gluten-free, shine-free, soothing, dewy, uneven texture, blurring, smooth"
